,cryo_temp,time
0,139.99,2024-11-13 17:54:45.009654
1,139.99,2024-11-13 17:54:49.782178
2,139.99,2024-11-13 17:55:09.316009
3,139.99,2024-11-13 17:55:24.588531
4,139.99,2024-11-13 17:55:39.839303
5,139.99,2024-11-13 17:55:55.073340
6,139.99,2024-11-13 17:56:10.285081
7,139.99,2024-11-13 17:56:25.590066
8,140.0,2024-11-13 17:56:40.911478
9,140.0,2024-11-13 17:56:56.112335
10,140.0,2024-11-13 17:57:11.342559
11,140.0,2024-11-13 17:57:26.553350
12,140.0,2024-11-13 17:57:41.749508
13,140.0,2024-11-13 17:57:56.934313
14,140.01,2024-11-13 17:58:12.132538
15,140.01,2024-11-13 17:58:27.424682
16,140.0,2024-11-13 17:58:42.623587
17,140.0,2024-11-13 17:58:57.858077
18,140.0,2024-11-13 17:59:13.057341
19,140.0,2024-11-13 17:59:28.250734
20,140.0,2024-11-13 17:59:43.441970
21,140.0,2024-11-13 17:59:58.631096
22,140.0,2024-11-13 18:00:13.920091
23,139.99,2024-11-13 18:00:29.101110
24,139.99,2024-11-13 18:00:44.270064
25,139.99,2024-11-13 18:00:59.421246
26,139.99,2024-11-13 18:01:14.573464
27,139.99,2024-11-13 18:01:29.744848
28,139.99,2024-11-13 18:01:44.864544
29,139.99,2024-11-13 18:02:00.043689
30,139.99,2024-11-13 18:02:15.222253
31,139.99,2024-11-13 18:02:30.338870
32,139.99,2024-11-13 18:02:45.398352
33,139.99,2024-11-13 18:03:00.520203
34,139.99,2024-11-13 18:03:15.641665
35,139.99,2024-11-13 18:03:30.874650
36,139.99,2024-11-13 18:03:46.785969
37,139.99,2024-11-13 18:04:01.863795
38,139.99,2024-11-13 18:04:16.961757
39,140.0,2024-11-13 18:04:32.037793
40,140.0,2024-11-13 18:04:47.169013
41,140.0,2024-11-13 18:05:02.277287
42,140.0,2024-11-13 18:05:17.380500
43,140.0,2024-11-13 18:05:32.486266
44,140.0,2024-11-13 18:05:47.585164
45,140.0,2024-11-13 18:06:02.667444
46,140.01,2024-11-13 18:06:17.753976
47,140.0,2024-11-13 18:06:32.860480
48,140.0,2024-11-13 18:06:47.985209
49,140.0,2024-11-13 18:07:03.091233
50,140.0,2024-11-13 18:07:18.166413
51,140.0,2024-11-13 18:07:33.264148
52,140.0,2024-11-13 18:07:48.345457
53,140.0,2024-11-13 18:08:03.484467
54,139.99,2024-11-13 18:08:18.580825
55,139.99,2024-11-13 18:08:33.656405
56,139.99,2024-11-13 18:08:48.793583
57,139.99,2024-11-13 18:09:03.874266
58,139.99,2024-11-13 18:09:18.955008
59,139.99,2024-11-13 18:09:34.002829
60,139.99,2024-11-13 18:09:49.074172
61,139.99,2024-11-13 18:10:04.174855
62,139.99,2024-11-13 18:10:19.279021
63,139.99,2024-11-13 18:10:34.664356
64,139.99,2024-11-13 18:10:49.808286
65,139.99,2024-11-13 18:11:04.994344
66,139.99,2024-11-13 18:11:20.104741
67,139.99,2024-11-13 18:11:35.200146
68,139.99,2024-11-13 18:11:50.286445
69,140.0,2024-11-13 18:12:05.334078
70,140.0,2024-11-13 18:12:20.432659
71,140.0,2024-11-13 18:12:35.517013
72,140.0,2024-11-13 18:12:50.634712
73,140.0,2024-11-13 18:13:05.786907
74,140.0,2024-11-13 18:13:20.884842
75,140.0,2024-11-13 18:13:35.978360
76,140.0,2024-11-13 18:13:51.091435
77,140.0,2024-11-13 18:14:06.183360
78,140.01,2024-11-13 18:14:21.304590
79,140.0,2024-11-13 18:14:36.372182
80,140.0,2024-11-13 18:14:51.413766
81,140.0,2024-11-13 18:15:06.519237
82,140.0,2024-11-13 18:15:21.593139
83,140.0,2024-11-13 18:15:36.683610
84,140.0,2024-11-13 18:15:51.788676
85,139.99,2024-11-13 18:16:06.917714
86,139.99,2024-11-13 18:16:22.009017
87,139.99,2024-11-13 18:16:37.075124
88,139.99,2024-11-13 18:16:52.118267
89,139.99,2024-11-13 18:17:07.209419
90,139.99,2024-11-13 18:17:22.322116
91,139.99,2024-11-13 18:17:37.450626
92,139.99,2024-11-13 18:17:52.554090
93,139.99,2024-11-13 18:18:07.663881
94,139.99,2024-11-13 18:18:22.760688
95,139.99,2024-11-13 18:18:37.840348
96,139.99,2024-11-13 18:18:52.955934
97,139.99,2024-11-13 18:19:08.133428
98,139.99,2024-11-13 18:19:23.210194
99,139.99,2024-11-13 18:19:38.348607
100,139.99,2024-11-13 18:19:53.407490
101,139.99,2024-11-13 18:20:08.513252
102,140.0,2024-11-13 18:20:23.617079
103,140.0,2024-11-13 18:20:38.694031
104,140.0,2024-11-13 18:20:53.828237
105,140.0,2024-11-13 18:21:08.933950
106,140.01,2024-11-13 18:21:24.041904
107,140.0,2024-11-13 18:21:39.150199
108,140.01,2024-11-13 18:21:54.242369
109,140.0,2024-11-13 18:22:09.582218
110,140.0,2024-11-13 18:22:24.786069
111,140.0,2024-11-13 18:22:39.988733
112,140.0,2024-11-13 18:22:55.275582
113,140.0,2024-11-13 18:23:10.678293
114,140.0,2024-11-13 18:23:26.196519
115,140.0,2024-11-13 18:23:41.352390
116,139.99,2024-11-13 18:23:56.531937
117,140.38,2024-11-13 18:24:11.770735
118,141.87,2024-11-13 18:24:26.940574
119,143.02,2024-11-13 18:24:42.160241
120,144.01,2024-11-13 18:24:57.362635
121,144.96,2024-11-13 18:25:12.567479
122,145.86,2024-11-13 18:25:27.763239
123,146.74,2024-11-13 18:25:42.998086
124,147.6,2024-11-13 18:25:58.195153
125,148.42,2024-11-13 18:26:13.395594
126,149.23,2024-11-13 18:26:28.571688
127,150.01,2024-11-13 18:26:43.707449
128,150.78,2024-11-13 18:26:58.754597
129,151.53,2024-11-13 18:27:13.859901
130,152.26,2024-11-13 18:27:28.974630
131,152.99,2024-11-13 18:27:44.035560
132,153.69,2024-11-13 18:27:59.100007
133,154.39,2024-11-13 18:28:14.151408
134,155.07,2024-11-13 18:28:29.223992
135,155.74,2024-11-13 18:28:44.295947
136,156.4,2024-11-13 18:28:59.311800
137,157.06,2024-11-13 18:29:14.371880
138,157.7,2024-11-13 18:29:29.424383
139,158.33,2024-11-13 18:29:44.473823
140,158.95,2024-11-13 18:29:59.505884
141,159.56,2024-11-13 18:30:14.622721
142,160.16,2024-11-13 18:30:29.660913
143,160.76,2024-11-13 18:30:44.695467
144,161.35,2024-11-13 18:30:59.732387
145,161.93,2024-11-13 18:31:14.791458
146,162.49,2024-11-13 18:31:29.827620
147,163.07,2024-11-13 18:31:44.905145
148,163.63,2024-11-13 18:31:59.979185
149,164.17,2024-11-13 18:32:15.028837
150,164.72,2024-11-13 18:32:30.093929
151,165.26,2024-11-13 18:32:45.106193
152,165.79,2024-11-13 18:33:00.204753
153,166.32,2024-11-13 18:33:15.289640
154,166.84,2024-11-13 18:33:30.301036
155,167.36,2024-11-13 18:33:45.388492
156,167.87,2024-11-13 18:34:00.417556
157,168.38,2024-11-13 18:34:15.497281
158,168.88,2024-11-13 18:34:30.622415
159,169.38,2024-11-13 18:34:45.700878
160,169.88,2024-11-13 18:35:00.767107
161,170.36,2024-11-13 18:35:15.839953
162,170.85,2024-11-13 18:35:30.930164
163,171.33,2024-11-13 18:35:46.009031
164,171.8,2024-11-13 18:36:01.123535
165,172.27,2024-11-13 18:36:16.233312
166,172.74,2024-11-13 18:36:31.311896
167,173.22,2024-11-13 18:36:46.502193
168,173.68,2024-11-13 18:37:01.609574
169,174.13,2024-11-13 18:37:16.713943
170,174.59,2024-11-13 18:37:31.796873
171,175.04,2024-11-13 18:37:46.910244
172,175.49,2024-11-13 18:38:01.952836
173,175.93,2024-11-13 18:38:17.005615
174,176.37,2024-11-13 18:38:32.141645
175,176.81,2024-11-13 18:38:47.218954
176,177.25,2024-11-13 18:39:02.358820
177,177.69,2024-11-13 18:39:17.434951
178,178.12,2024-11-13 18:39:32.519479
179,178.55,2024-11-13 18:39:47.630555
180,178.97,2024-11-13 18:40:02.740311
181,179.4,2024-11-13 18:40:17.811034
182,179.82,2024-11-13 18:40:32.956711
183,180.25,2024-11-13 18:40:48.020066
184,180.67,2024-11-13 18:41:03.056445
185,181.09,2024-11-13 18:41:18.147654
186,181.51,2024-11-13 18:41:33.250402
187,181.93,2024-11-13 18:41:48.351282
188,182.34,2024-11-13 18:42:03.430617
189,182.75,2024-11-13 18:42:18.485836
190,183.17,2024-11-13 18:42:33.559656
191,183.57,2024-11-13 18:42:48.696340
192,183.98,2024-11-13 18:43:03.765253
193,184.4,2024-11-13 18:43:18.939605
194,184.8,2024-11-13 18:43:34.017645
195,185.2,2024-11-13 18:43:49.128409
196,185.6,2024-11-13 18:44:04.234585
197,186.0,2024-11-13 18:44:19.352080
198,186.41,2024-11-13 18:44:34.517839
199,186.8,2024-11-13 18:44:49.629044
200,187.2,2024-11-13 18:45:04.723973
201,187.6,2024-11-13 18:45:19.846528
202,187.99,2024-11-13 18:45:34.937634
203,188.39,2024-11-13 18:45:49.994504
204,188.78,2024-11-13 18:46:05.077669
205,189.17,2024-11-13 18:46:20.160422
206,189.56,2024-11-13 18:46:35.249108
207,189.95,2024-11-13 18:46:50.382194
208,190.34,2024-11-13 18:47:05.477720
209,190.73,2024-11-13 18:47:20.574124
210,191.11,2024-11-13 18:47:35.680767
211,191.51,2024-11-13 18:47:50.772683
212,191.89,2024-11-13 18:48:05.858699
213,192.28,2024-11-13 18:48:20.953040
214,192.66,2024-11-13 18:48:36.070057
215,193.04,2024-11-13 18:48:51.190566
216,193.42,2024-11-13 18:49:06.284461
217,193.81,2024-11-13 18:49:21.327809
218,194.19,2024-11-13 18:49:36.385611
219,194.57,2024-11-13 18:49:51.512145
220,194.95,2024-11-13 18:50:06.583889
221,195.34,2024-11-13 18:50:21.675848
222,195.72,2024-11-13 18:50:36.768519
223,196.1,2024-11-13 18:50:51.945948
224,196.48,2024-11-13 18:51:07.063791
225,196.86,2024-11-13 18:51:22.190563
226,197.24,2024-11-13 18:51:37.306101
227,197.63,2024-11-13 18:51:52.684938
228,198.0,2024-11-13 18:52:07.827867
229,198.38,2024-11-13 18:52:22.898139
230,198.77,2024-11-13 18:52:38.016158
231,199.14,2024-11-13 18:52:53.210018
232,199.53,2024-11-13 18:53:08.398297
233,199.9,2024-11-13 18:53:23.488582
234,200.28,2024-11-13 18:53:38.598411
235,200.65,2024-11-13 18:53:53.711650
236,201.03,2024-11-13 18:54:08.796718
237,201.4,2024-11-13 18:54:23.907209
238,201.79,2024-11-13 18:54:38.994288
239,202.16,2024-11-13 18:54:54.156272
240,202.53,2024-11-13 18:55:09.233876
241,202.91,2024-11-13 18:55:24.381844
242,203.29,2024-11-13 18:55:39.502885
243,203.65,2024-11-13 18:55:54.609071
244,204.03,2024-11-13 18:56:09.788377
245,204.4,2024-11-13 18:56:24.931568
246,204.77,2024-11-13 18:56:40.035296
247,205.14,2024-11-13 18:56:55.152119
248,205.51,2024-11-13 18:57:10.261623
249,205.88,2024-11-13 18:57:25.404119
250,206.24,2024-11-13 18:57:40.632501
251,206.61,2024-11-13 18:57:55.800145
252,206.97,2024-11-13 18:58:10.952718
253,207.33,2024-11-13 18:58:26.054093
254,207.69,2024-11-13 18:58:41.172192
255,208.05,2024-11-13 18:58:56.323883
256,208.4,2024-11-13 18:59:11.432802
257,208.76,2024-11-13 18:59:26.561865
258,209.11,2024-11-13 18:59:41.739790
259,209.46,2024-11-13 18:59:56.885024
260,209.81,2024-11-13 19:00:12.020045
261,210.17,2024-11-13 19:00:27.224913
262,210.52,2024-11-13 19:00:42.346232
263,210.87,2024-11-13 19:00:57.451228
264,211.23,2024-11-13 19:01:12.646669
265,211.58,2024-11-13 19:01:27.887452
266,211.93,2024-11-13 19:01:43.039679
267,212.28,2024-11-13 19:01:58.250829
268,212.63,2024-11-13 19:02:13.466819
269,212.98,2024-11-13 19:02:28.625868
270,213.33,2024-11-13 19:02:43.816828
271,213.68,2024-11-13 19:02:58.957896
272,214.02,2024-11-13 19:03:14.118222
273,214.37,2024-11-13 19:03:29.333773
274,214.72,2024-11-13 19:03:44.464651
275,215.06,2024-11-13 19:03:59.627647
276,215.4,2024-11-13 19:04:14.779492
277,215.74,2024-11-13 19:04:29.969445
278,216.08,2024-11-13 19:04:45.156562
279,216.42,2024-11-13 19:05:00.277799
280,216.76,2024-11-13 19:05:15.464438
281,217.09,2024-11-13 19:05:30.649125
282,217.43,2024-11-13 19:05:45.844369
283,217.76,2024-11-13 19:06:01.005203
284,218.1,2024-11-13 19:06:16.143719
285,218.42,2024-11-13 19:06:31.340807
