wavelength,ch1_mean,photon_rate,sophia_region
200.0,-2.806316266666667e-12,,
210.0,-2.2048883333333335e-12,,
220.0,-1.6781607666666667e-12,,
230.0,-1.7649777e-12,,
240.0,-1.6900958999999999e-12,,
250.0,-1.3990744e-12,,
260.0,-1.1543465666666665e-12,,
270.0,-1.6900407666666666e-12,,
280.0,-1.8837579333333334e-12,,
290.0,-1.9028049e-12,,
300.0,-3.3127175333333336e-12,,
310.0,-6.5181264e-12,,
320.0,-4.7477591e-12,,
330.0,-1.0614023600000001e-12,,
340.0,-8.777599033333332e-13,,
350.0,-1.1059964233333333e-12,,
360.0,-1.8983179333333337e-12,,
370.0,-2.7595901666666663e-12,,
380.0,-3.749862966666667e-12,,
390.0,-4.670605700000001e-12,,
400.0,-5.143733266666666e-12,,
410.0,-5.6426930000000006e-12,,
420.0,-6.093337066666667e-12,,
430.0,-6.085767066666668e-12,,
440.0,-8.350450166666667e-12,,
450.0,-7.448889433333334e-12,,
460.0,-8.285264033333333e-12,,
470.0,-9.3138047e-12,,
480.0,-1.3144163666666669e-11,,
490.0,-7.618927533333332e-12,,
500.0,-7.337865633333335e-12,,
510.0,-6.0787103333333336e-12,,
520.0,-5.3358276e-12,,
530.0,-6.652937733333333e-12,,
540.0,-7.444635266666666e-12,,
550.0,-7.6382099e-12,,
560.0,-8.574653300000002e-12,,
570.0,-2.7101109666666666e-11,,
580.0,-2.3223101333333335e-11,,
590.0,-3.5400998666666663e-11,,
600.0,-3.327893233333334e-11,,
