sci_data_set_name,sci_targname,sci_broad_category,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_galactic_latitude,sci_preview_name,scp_scan_type,sci_hlsp
O45701040,CRAB-PULSAR,STAR,83.63340218059,22.01473389499,2,1997-08-07T18:31:39.527,1997-08-07T19:11:39.527,2400.1975,STIS  ,2X2,G230L,2376,7108,GULL,1998-01-14T13:44:11,-5.783988,,,
O45701050,CRAB-PULSAR,STAR,83.63340218059,22.01473389499,2,1997-08-07T16:54:53.540,1997-08-07T17:34:53.540,2400.19725,STIS  ,2X2,G230L,2376,7108,GULL,1998-01-14T13:44:08,-5.783988,,,
O45701060,CRAB-PULSAR,STAR,83.63340218059,22.01473389499,2,1997-08-07T15:28:43.523,1997-08-07T16:05:14.527,1907,STIS  ,2X2,G230L,2376,7108,GULL,1997-08-08T13:49:18,-5.783988,,,
O45K010A0,GD50,STAR,57.20858333333,-0.9751111111111,0,1997-07-24T20:23:37.480,1997-07-24T20:47:37.480,1440,STIS  ,52X0.2F1,G230L,2376,7089,CLAMPIN,1997-07-25T08:44:52,-40.0977,,,
O45K010B0,GD50,STAR,57.20858333333,-0.9751111111111,0,1997-07-24T19:11:12.490,1997-07-24T19:35:12.490,1440,STIS  ,52X0.2F1,G230L,2376,7089,CLAMPIN,1997-07-25T08:46:17,-40.0977,,,
O45K030A0,GD50-2,STAR,57.2086862766,-0.9756529177066,0,1997-09-13T19:18:35.523,1997-09-13T19:42:35.527,1440,STIS  ,52X0.2F1,G230L,2376,7089,CLAMPIN,1997-09-14T10:06:20,-40.097932,,,
O45K030B0,GD50-2,STAR,57.20868627548,-0.9756529118126,0,1997-09-13T18:05:47.527,1997-09-13T18:29:47.523,1440,STIS  ,52X0.2F1,G230L,2376,7089,CLAMPIN,1997-09-14T10:02:55,-40.097932,,,
O47Z01040,P330E,STAR,247.8910416667,30.14641666667,5,1997-12-06T01:30:34.633,1997-12-06T02:07:02.617,2046,STIS  ,52X2,G230L,2376,7723,FERGUSON,1997-12-10T00:00:53,42.073603,O47Z01040,,
O48Z35010,SN1993J-STIS,STAR,148.8542625,69.0205,22,1998-02-21T15:42:05.767,1998-02-21T16:32:05.767,3000,STIS  ,52X0.2,G230L,2376,7434,KIRSHNER,1998-02-23T15:07:46,40.9159,O48Z35010,,
O48Z35020,SN1993J-STIS,STAR,148.8542625,69.0205,22,1998-02-21T16:36:02.760,1998-02-21T17:26:02.760,3000,STIS  ,52X0.2,G230L,2376,7434,KIRSHNER,1998-02-23T15:18:47,40.9159,O48Z35020,,
O48Z35030,SN1993J-STIS,STAR,148.8542625,69.0205,22,1998-02-21T17:29:59.750,1998-02-21T18:24:59.753,3300,STIS  ,52X0.2,G230L,2376,7434,KIRSHNER,1998-02-23T15:20:40,40.9159,O48Z35030,,
O4ER01020,NGC6121-Y453,STAR,245.8427083333,-26.46722222222,5,1999-03-26T12:46:41.157,1999-03-26T13:04:41.157,1080,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-11-23T03:56:48,16.047346,O4ER01020,,
O4ER02050,NGC2808-UIT1,STAR,138.0166875,-64.85886944444,5,1999-04-20T22:50:21.157,1999-04-20T23:10:21.153,1200,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-11-23T15:48:19,-11.248308,O4ER02050,,
O4ER02060,NGC2808-UIT1,STAR,138.0166184418,-64.85891662096,5,1999-04-20T23:12:44.130,1999-04-20T23:32:44.130,1200,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-11-23T19:50:22,-11.248361,O4ER02060,,
O4ER03020,NGC6723-III60,STAR,284.8707859951,-36.68040771195,5,1998-02-25T13:11:58.760,1998-02-25T13:29:58.760,1080,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,1998-02-25T15:10:28,-17.303467,O4ER03020,,
O4ER04020,NGC6723-IV9,STAR,284.8502577809,-36.6324744332,5,1998-05-02T02:07:08.737,1998-05-02T02:25:08.737,1080,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,1998-05-02T16:37:33,-17.270694,O4ER04020,,
O4ER05050,NGC104-UIT14-2,STAR,5.939982083333,-72.09597222222,5,1999-10-28T04:48:34.230,1999-10-28T05:11:54.230,1400,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-11-25T02:23:46,-44.870945,O4ER05050,,
O4ER05060,NGC104-UIT14-2,STAR,5.940042836584,-72.09602454422,5,1999-10-28T05:14:17.237,1999-10-28T05:42:11.237,1674,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-11-25T04:33:50,-44.870896,O4ER05060,,
O4ER06040,NGC6752-UIT1,STAR,287.7270958333,-59.99621944444,5,1998-03-03T05:39:20.743,1998-03-03T05:39:20.743,0,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,1998-03-03T13:18:44,-25.635361,,,
O4ER07040,NGC6752-B2004,STAR,287.7691666667,-59.96666666667,5,1998-03-03T07:14:54.760,1998-03-03T07:14:54.760,0,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,1998-03-03T14:13:43,-25.650738,,,
O4ER08030,NGC1904-F1179,STAR,81.04946666667,-24.53863055556,5,1999-02-13T12:35:48.923,1999-02-13T12:55:48.923,1200,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-12-10T06:24:11,-29.3515,O4ER08030,,
O4ER16040,NGC6752-UIT1,STAR,287.7270958333,-59.99621944444,5,1999-05-26T07:09:09.237,1999-05-26T07:24:09.237,900,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-12-10T08:22:33,-25.635361,O4ER16040,,
O4ER17040,NGC6752-B2004,STAR,287.7691666667,-59.96666666667,5,1999-03-31T11:53:51.140,1999-03-31T12:08:51.140,900,STIS  ,52X0.2,G230L,2376,7436,LANDSMAN,2006-12-10T23:23:00,-25.650738,O4ER17040,,
