hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458091.79508,bh,V,9.759,0.02,479.164,8.817
2458229.73085,bh,V,9.72,0.02,496.667,9.139
2458201.48958,bh,V,9.647,0.02,531.158,9.773
2458083.81237,bh,V,9.796,0.02,463.012,8.519
2458153.59269,bh,V,9.697,0.02,507.118,9.331
2458143.87536,bh,V,9.822,0.02,452.038,8.318
2458097.8181,bh,V,9.695,0.02,508.038,9.348
2458130.86679,bh,V,9.744,0.02,485.547,8.934
2458144.83992,bh,V,9.682,0.02,513.974,9.457
2458222.63217,bh,V,9.734,0.02,490.008,9.016
2458316.46665,bh,V,9.62,0.02,544.41,10.017
2458072.81488,bh,V,9.712,0.02,499.949,9.199
2457858.55997,bh,V,9.559,0.02,575.592,10.591
2457816.78646,bh,V,9.807,0.02,458.13,8.43
2457914.58103,bh,V,9.737,0.02,488.95,8.997
2457890.60572,bh,V,9.703,0.02,504.193,9.277
2457915.53493,bh,V,9.667,0.02,521.315,9.592
2457849.76738,bh,V,9.792,0.02,464.423,8.545
2457883.54752,bh,V,9.71,0.02,501.033,9.219
2457786.7079,bh,V,9.693,0.02,508.915,9.364
2457863.72825,bh,V,9.799,0.02,461.688,8.495
2457800.75306,bh,V,9.876,0.02,430.2,7.916
2457778.71904,bh,V,9.847,0.02,441.711,8.127
2458070.85657,bh,V,9.725,0.02,494.32,9.095
2458048.86367,bh,V,9.756,0.02,480.463,8.841
2457773.75201,bh,V,9.82,0.02,452.679,8.329
2457770.63509,bh,V,9.866,0.02,434.1,7.987
2457829.6344,bh,V,9.573,0.02,568.667,10.463
2457772.8041,bh,V,9.799,0.02,461.488,8.491
2457791.57259,bh,V,9.725,0.02,494.164,9.093
2457882.63312,bh,V,9.758,0.02,479.288,8.819
2457834.6264,bh,V,9.561,0.02,574.932,10.579
2457789.58948,bh,V,9.876,0.02,430.163,7.915
2457153.65279,bf,V,9.74,0.02,507.274,9.334
2457134.62246,bf,V,9.761,0.02,498.052,9.164
2457722.76655,bh,V,9.787,0.02,466.833,8.59
2457433.78898,bh,V,9.709,0.02,501.495,9.228
2457447.69815,bh,V,9.706,0.02,502.98,9.255
2457674.88213,bh,V,9.78,0.02,469.641,8.641
2457444.56914,bh,V,9.687,0.02,511.885,9.419
2457437.87627,bh,V,9.729,0.02,492.342,9.059
2457435.79439,bh,V,9.703,0.02,504.134,9.276
